epoch,acc,loss,val_acc,val_loss
0,0.92571875,0.2445816035238199,0.914625,0.28853877520561216
1,0.65790625,4.209544056694955,0.5,8.059047775268555
2,0.5,8.059047775506974,0.5,8.059047790527345
3,0.5,8.059047781944274,0.5,8.059047792434692
4,0.5,8.059047780036927,0.5,8.05904781150818
5,0.5,8.059047775506974,0.5,8.059047805786133
6,0.5,8.059047795772553,0.5,8.059047805786133
7,0.5,8.059047793149949,0.5,8.059047740936279
8,0.5,8.059047781467438,0.5,8.059047788619996
9,0.5,8.059047784328461,0.5,8.0590477809906
10,0.5,8.059047775030136,0.5,8.059047803878784
11,0.5,8.05904778957367,0.5,8.059047784805298
12,0.5,8.05904779291153,0.5,8.059047786712647
13,0.5,8.059047801971435,0.5,8.059047765731812
14,0.5,8.059047783613204,0.5,8.059047805786133
15,0.5,8.059047786712647,0.5,8.05904776096344
16,0.5,8.059047788143157,0.5,8.059047813415527
17,0.5,8.059047791481017,0.5,8.059047782897949
18,0.5,8.059047779798508,0.5,8.059047788619996
19,0.5,8.059047775030136,0.5,8.059047763824463
20,0.5,8.059047777175904,0.5,8.059047763824463
21,0.5,8.059047782659531,0.5,8.059047765731812
22,0.5,8.0590477745533,0.5,8.05904776763916
23,0.5,8.059047790288925,0.5,8.059047761917114
24,0.5,8.059047790527345,0.5,8.059047807693482
